location,adm4,latitude,longitude,datetime,local_datetime,temperature_c,humidity_pct,precipitation_mm,weather,weather_desc,weather_desc_en,wind_direction_deg,wind_direction,wind_direction_to,wind_speed_ms,cloud_cover_pct,visibility,time_index,analysis_date
Halimaung Jaya,62.07.06.2002,-3.2240540377,112.5841829362,2026-08-20T19:00:00Z,2026-08-21 02:00:00,24.0,89.0,0.0,1,Cerah,Sunny,119.0,E,W,12.4,49.0,< 9 km,6-7,2026-08-20T12:00:00
Halimaung Jaya,62.07.06.2002,-3.2240540377,112.5841829362,2026-08-20T22:00:00Z,2026-08-21 05:00:00,25.0,81.0,0.0,1,Cerah,Sunny,113.0,E,W,14.8,41.0,< 8 km,9-10,2026-08-20T12:00:00
Halimaung Jaya,62.07.06.2002,-3.2240540377,112.5841829362,2026-08-21T01:00:00Z,2026-08-21 08:00:00,30.0,60.0,0.0,1,Cerah,Sunny,122.0,E,W,15.9,35.0,< 8 km,12-13,2026-08-20T12:00:00
Halimaung Jaya,62.07.06.2002,-3.2240540377,112.5841829362,2026-08-21T04:00:00Z,2026-08-21 11:00:00,34.0,52.0,0.0,1,Cerah,Sunny,135.0,SE,NW,14.2,34.0,< 10 km,15-16,2026-08-20T12:00:00
Halimaung Jaya,62.07.06.2002,-3.2240540377,112.5841829362,2026-08-21T07:00:00Z,2026-08-21 14:00:00,31.0,59.0,0.0,1,Cerah,Sunny,144.0,SE,NW,13.8,45.0,< 10 km,18-19,2026-08-20T12:00:00
Halimaung Jaya,62.07.06.2002,-3.2240540377,112.5841829362,2026-08-21T10:00:00Z,2026-08-21 17:00:00,27.0,75.0,0.0,1,Cerah,Sunny,154.0,SE,NW,11.4,39.0,< 8 km,21-22,2026-08-20T12:00:00
Halimaung Jaya,62.07.06.2002,-3.2240540377,112.5841829362,2026-08-21T13:00:00Z,2026-08-21 20:00:00,26.0,81.0,0.0,1,Cerah,Sunny,131.0,E,W,11.9,39.0,< 8 km,24-25,2026-08-20T12:00:00
Halimaung Jaya,62.07.06.2002,-3.2240540377,112.5841829362,2026-08-21T16:00:00Z,2026-08-21 23:00:00,26.0,84.0,0.0,1,Cerah,Sunny,127.0,E,W,11.8,28.0,< 8 km,27-28,2026-08-20T12:00:00
Halimaung Jaya,62.07.06.2002,-3.2240540377,112.5841829362,2026-08-21T19:00:00Z,2026-08-22 02:00:00,26.0,85.0,0.0,1,Cerah,Sunny,130.0,E,W,12.3,51.0,< 8 km,30-31,2026-08-20T12:00:00
Halimaung Jaya,62.07.06.2002,-3.2240540377,112.5841829362,2026-08-21T22:00:00Z,2026-08-22 05:00:00,26.0,83.0,0.0,1,Cerah,Sunny,126.0,E,W,16.7,57.0,< 8 km,33-34,2026-08-20T12:00:00
Halimaung Jaya,62.07.06.2002,-3.2240540377,112.5841829362,2026-08-22T01:00:00Z,2026-08-22 08:00:00,30.0,62.0,0.0,1,Cerah,Sunny,125.0,E,W,17.0,45.0,< 9 km,36-37,2026-08-20T12:00:00
Halimaung Jaya,62.07.06.2002,-3.2240540377,112.5841829362,2026-08-22T04:00:00Z,2026-08-22 11:00:00,33.0,56.0,0.0,1,Cerah,Sunny,133.0,E,W,16.6,47.0,< 9 km,39-40,2026-08-20T12:00:00
Halimaung Jaya,62.07.06.2002,-3.2240540377,112.5841829362,2026-08-22T07:00:00Z,2026-08-22 14:00:00,31.0,60.0,0.0,1,Cerah,Sunny,139.0,SE,NW,14.7,35.0,< 9 km,42-43,2026-08-20T12:00:00
Halimaung Jaya,62.07.06.2002,-3.2240540377,112.5841829362,2026-08-22T10:00:00Z,2026-08-22 17:00:00,27.0,75.0,0.0,1,Cerah,Sunny,150.0,SE,NW,12.3,36.0,< 9 km,45-46,2026-08-20T12:00:00
Halimaung Jaya,62.07.06.2002,-3.2240540377,112.5841829362,2026-08-22T13:00:00Z,2026-08-22 20:00:00,26.0,78.0,0.0,1,Cerah,Sunny,138.0,SE,NW,13.4,26.0,< 8 km,48-49,2026-08-20T12:00:00
Halimaung Jaya,62.07.06.2002,-3.2240540377,112.5841829362,2026-08-22T16:00:00Z,2026-08-22 23:00:00,26.0,80.0,0.0,2,Cerah Berawan,Partly Cloudy,135.0,SE,NW,13.7,70.0,< 8 km,51-52,2026-08-20T12:00:00
Halimaung Jaya,62.07.06.2002,-3.2240540377,112.5841829362,2026-08-22T19:00:00Z,2026-08-23 02:00:00,26.0,83.0,0.0,3,Berawan,Mostly Cloudy,131.0,E,W,12.0,94.0,< 8 km,54-55,2026-08-20T12:00:00
Halimaung Jaya,62.07.06.2002,-3.2240540377,112.5841829362,2026-08-22T22:00:00Z,2026-08-23 05:00:00,26.0,82.0,0.0,10,Udara Kabur,Mist/Haze,132.0,E,W,14.6,50.0,< 5 km,57-58,2026-08-20T12:00:00
Mekar Indah,62.07.06.2001,-3.2001272712,112.5160059135,2026-08-20T19:00:00Z,2026-08-21 02:00:00,24.0,91.0,0.0,1,Cerah,Sunny,120.0,E,W,10.8,43.0,< 9 km,6-7,2026-08-20T12:00:00
Mekar Indah,62.07.06.2001,-3.2001272712,112.5160059135,2026-08-20T22:00:00Z,2026-08-21 05:00:00,25.0,82.0,0.0,1,Cerah,Sunny,113.0,E,W,13.8,38.0,< 8 km,9-10,2026-08-20T12:00:00
Mekar Indah,62.07.06.2001,-3.2001272712,112.5160059135,2026-08-21T01:00:00Z,2026-08-21 08:00:00,30.0,60.0,0.0,1,Cerah,Sunny,118.0,E,W,15.7,40.0,< 8 km,12-13,2026-08-20T12:00:00
Mekar Indah,62.07.06.2001,-3.2001272712,112.5160059135,2026-08-21T04:00:00Z,2026-08-21 11:00:00,34.0,50.0,0.0,1,Cerah,Sunny,131.0,E,W,13.7,36.0,< 10 km,15-16,2026-08-20T12:00:00
Mekar Indah,62.07.06.2001,-3.2001272712,112.5160059135,2026-08-21T07:00:00Z,2026-08-21 14:00:00,31.0,57.0,0.0,1,Cerah,Sunny,139.0,SE,NW,14.1,41.0,< 10 km,18-19,2026-08-20T12:00:00
Mekar Indah,62.07.06.2001,-3.2001272712,112.5160059135,2026-08-21T10:00:00Z,2026-08-21 17:00:00,27.0,75.0,0.0,1,Cerah,Sunny,157.0,SE,NW,10.4,40.0,< 8 km,21-22,2026-08-20T12:00:00
Mekar Indah,62.07.06.2001,-3.2001272712,112.5160059135,2026-08-21T13:00:00Z,2026-08-21 20:00:00,26.0,81.0,0.0,1,Cerah,Sunny,130.0,E,W,10.7,39.0,< 8 km,24-25,2026-08-20T12:00:00
Mekar Indah,62.07.06.2001,-3.2001272712,112.5160059135,2026-08-21T16:00:00Z,2026-08-21 23:00:00,25.0,85.0,0.0,1,Cerah,Sunny,128.0,E,W,10.5,33.0,< 8 km,27-28,2026-08-20T12:00:00
