year,scope,burned_area_ha,processing_time_utc,source,resolution_m
2016,carbon_project_zone,223.16054916381836,2026-08-12T18:30:14.672697+00:00,MODIS/061/MCD64A1,500
2016,project_area,0.0,2026-08-12T18:30:15.020125+00:00,MODIS/061/MCD64A1,500
2017,carbon_project_zone,0.0,2026-08-12T18:30:15.336624+00:00,MODIS/061/MCD64A1,500
2017,project_area,0.0,2026-08-12T18:30:15.645171+00:00,MODIS/061/MCD64A1,500
2018,carbon_project_zone,1165.4214344024658,2026-08-12T18:30:15.821723+00:00,MODIS/061/MCD64A1,500
2018,project_area,111.74409199882956,2026-08-12T18:30:16.148887+00:00,MODIS/061/MCD64A1,500
2019,carbon_project_zone,31494.71913266651,2026-08-12T18:30:16.321997+00:00,MODIS/061/MCD64A1,500
2019,project_area,8777.044915315222,2026-08-12T18:30:16.647216+00:00,MODIS/061/MCD64A1,500
2020,carbon_project_zone,0.0,2026-08-12T18:30:16.781715+00:00,MODIS/061/MCD64A1,500
2020,project_area,0.0,2026-08-12T18:30:17.344786+00:00,MODIS/061/MCD64A1,500
2021,carbon_project_zone,0.0,2026-08-12T18:30:19.751841+00:00,MODIS/061/MCD64A1,500
2021,project_area,0.0,2026-08-12T18:30:20.181579+00:00,MODIS/061/MCD64A1,500
2022,carbon_project_zone,0.0,2026-08-12T18:30:20.299449+00:00,MODIS/061/MCD64A1,500
2022,project_area,0.0,2026-08-12T18:30:20.636201+00:00,MODIS/061/MCD64A1,500
2023,carbon_project_zone,20723.534966719388,2026-08-12T18:30:21.101920+00:00,MODIS/061/MCD64A1,500
2023,project_area,2833.398629386753,2026-08-12T18:30:21.717621+00:00,MODIS/061/MCD64A1,500
2024,carbon_project_zone,24.798561096191406,2026-08-12T18:30:21.908144+00:00,MODIS/061/MCD64A1,500
2024,project_area,0.0,2026-08-12T18:30:22.201327+00:00,MODIS/061/MCD64A1,500
2025,carbon_project_zone,0.0,2026-08-12T18:30:22.359665+00:00,MODIS/061/MCD64A1,500
2025,project_area,0.0,2026-08-12T18:30:22.672622+00:00,MODIS/061/MCD64A1,500
