scope,year,annual_rainfall_mm,yoy_change_mm,yoy_change_pct
carbon_project_zone,1981,2517.0372,,
carbon_project_zone,1982,1971.0771,-545.9601,-21.6906
carbon_project_zone,1983,2948.3391,977.2620,49.5801
carbon_project_zone,1984,2909.3023,-39.0368,-1.3240
carbon_project_zone,1985,3085.1257,175.8234,6.0435
carbon_project_zone,1986,3067.4698,-17.6559,-0.5723
carbon_project_zone,1987,2375.1468,-692.3230,-22.5698
carbon_project_zone,1988,3358.3809,983.2341,41.3968
carbon_project_zone,1989,2960.8247,-397.5562,-11.8377
carbon_project_zone,1990,2377.3346,-583.4901,-19.7070
carbon_project_zone,1991,2312.0751,-65.2595,-2.7451
carbon_project_zone,1992,2962.1423,650.0672,28.1162
carbon_project_zone,1993,2773.1105,-189.0318,-6.3816
carbon_project_zone,1994,2393.0330,-380.0775,-13.7058
carbon_project_zone,1995,2823.2523,430.2193,17.9780
carbon_project_zone,1996,2809.6941,-13.5582,-0.4802
carbon_project_zone,1997,1633.1317,-1176.5624,-41.8751
carbon_project_zone,1998,3202.7563,1569.6246,96.1113
carbon_project_zone,1999,3135.3511,-67.4052,-2.1046
carbon_project_zone,2000,3078.2887,-57.0624,-1.8200
carbon_project_zone,2001,2871.9687,-206.3200,-6.7024
carbon_project_zone,2002,2264.0778,-607.8909,-21.1663
carbon_project_zone,2003,2615.7150,351.6372,15.5311
carbon_project_zone,2004,2279.8401,-335.8749,-12.8407
carbon_project_zone,2005,2375.7795,95.9394,4.2082
carbon_project_zone,2006,2487.1246,111.3451,4.6867
carbon_project_zone,2007,2881.9171,394.7925,15.8735
carbon_project_zone,2008,3176.7637,294.8466,10.2309
carbon_project_zone,2009,2411.8757,-764.8880,-24.0776
carbon_project_zone,2010,4163.6437,1751.7680,72.6309
carbon_project_zone,2011,2881.1939,-1282.4498,-30.8011
carbon_project_zone,2012,2469.0252,-412.1687,-14.3055
carbon_project_zone,2013,2830.8541,361.8289,14.6547
carbon_project_zone,2014,2457.9938,-372.8603,-13.1713
carbon_project_zone,2015,2349.0058,-108.9880,-4.4340
carbon_project_zone,2016,3441.6620,1092.6562,46.5157
carbon_project_zone,2017,2961.5915,-480.0705,-13.9488
carbon_project_zone,2018,2631.7095,-329.8820,-11.1387
carbon_project_zone,2019,2241.1511,-390.5584,-14.8405
carbon_project_zone,2020,3347.8269,1106.6758,49.3798
carbon_project_zone,2021,3675.6010,327.7741,9.7907
carbon_project_zone,2022,3523.3724,-152.2286,-4.1416
carbon_project_zone,2023,2412.4771,-1110.8953,-31.5293
carbon_project_zone,2024,3001.2307,588.7536,24.4045
carbon_project_zone,2025,3606.1822,604.9515,20.1568
project_area,1981,2499.3329,,
project_area,1982,1967.3283,-532.0046,-21.2859
project_area,1983,2964.5555,997.2272,50.6894
project_area,1984,2900.5520,-64.0035,-2.1590
project_area,1985,3109.6068,209.0548,7.2074
project_area,1986,3089.0817,-20.5251,-0.6601
project_area,1987,2355.8953,-733.1864,-23.7348
project_area,1988,3345.4993,989.6040,42.0054
project_area,1989,2978.4722,-367.0271,-10.9708
project_area,1990,2364.9746,-613.4976,-20.5977
project_area,1991,2349.6308,-15.3438,-0.6488
project_area,1992,2976.1186,626.4878,26.6632
project_area,1993,2815.5406,-160.5780,-5.3956
project_area,1994,2406.6652,-408.8754,-14.5221
project_area,1995,2860.4077,453.7425,18.8536
project_area,1996,2802.9862,-57.4215,-2.0075
project_area,1997,1645.2662,-1157.7200,-41.3031
project_area,1998,3218.7727,1573.5065,95.6384
project_area,1999,3161.2961,-57.4766,-1.7857
project_area,2000,3082.7795,-78.5166,-2.4837
project_area,2001,2883.6562,-199.1233,-6.4592
project_area,2002,2275.9207,-607.7355,-21.0752
project_area,2003,2620.8077,344.8870,15.1537
project_area,2004,2274.5389,-346.2688,-13.2123
project_area,2005,2385.4550,110.9161,4.8764
project_area,2006,2501.2837,115.8287,4.8556
project_area,2007,2884.1217,382.8380,15.3057
project_area,2008,3201.7448,317.6231,11.0128
project_area,2009,2433.0078,-768.7370,-24.0099
project_area,2010,4178.8822,1745.8744,71.7579
project_area,2011,2904.0337,-1274.8485,-30.5069
project_area,2012,2463.1704,-440.8633,-15.1811
project_area,2013,2844.2277,381.0573,15.4702
project_area,2014,2467.7745,-376.4532,-13.2357
project_area,2015,2369.0599,-98.7146,-4.0001
project_area,2016,3441.0110,1071.9511,45.2480
project_area,2017,2969.3124,-471.6986,-13.7081
project_area,2018,2617.3721,-351.9403,-11.8526
project_area,2019,2256.4540,-360.9181,-13.7893
project_area,2020,3362.5308,1106.0768,49.0184
project_area,2021,3699.4312,336.9004,10.0193
project_area,2022,3539.5644,-159.8668,-4.3214
project_area,2023,2426.4034,-1113.1610,-31.4491
project_area,2024,3018.2287,591.8253,24.3911
project_area,2025,3633.5871,615.3584,20.3881
