scope,year,annual_rainfall_mm,annual_normal_mm,months_available,annual_anomaly_mm,annual_anomaly_pct,complete_year
carbon_project_zone,1996,2809.6941,2742.1185,12,67.5756,2.4644,True
carbon_project_zone,1997,1633.1317,2742.1185,12,-1108.9868,-40.4427,True
carbon_project_zone,1998,3202.7563,2742.1185,12,460.6378,16.7986,True
carbon_project_zone,1999,3135.3511,2742.1185,12,393.2326,14.3405,True
carbon_project_zone,2000,3078.2887,2742.1185,12,336.1702,12.2595,True
carbon_project_zone,2001,2871.9687,2742.1185,12,129.8502,4.7354,True
carbon_project_zone,2002,2264.0778,2742.1185,12,-478.0407,-17.4333,True
carbon_project_zone,2003,2615.7150,2742.1185,12,-126.4035,-4.6097,True
carbon_project_zone,2004,2279.8401,2742.1185,12,-462.2784,-16.8584,True
carbon_project_zone,2005,2375.7795,2742.1185,12,-366.3390,-13.3597,True
carbon_project_zone,2006,2487.1246,2742.1185,12,-254.9939,-9.2992,True
carbon_project_zone,2007,2881.9171,2742.1185,12,139.7986,5.0982,True
carbon_project_zone,2008,3176.7637,2742.1185,12,434.6452,15.8507,True
carbon_project_zone,2009,2411.8757,2742.1185,12,-330.2428,-12.0433,True
carbon_project_zone,2010,4163.6437,2742.1185,12,1421.5252,51.8404,True
carbon_project_zone,2011,2881.1939,2742.1185,12,139.0754,5.0718,True
carbon_project_zone,2012,2469.0252,2742.1185,12,-273.0933,-9.9592,True
carbon_project_zone,2013,2830.8541,2742.1185,12,88.7356,3.2360,True
carbon_project_zone,2014,2457.9938,2742.1185,12,-284.1247,-10.3615,True
carbon_project_zone,2015,2349.0058,2742.1185,12,-393.1127,-14.3361,True
carbon_project_zone,2016,3441.6620,2742.1185,12,699.5435,25.5111,True
carbon_project_zone,2017,2961.5915,2742.1185,12,219.4730,8.0038,True
carbon_project_zone,2018,2631.7095,2742.1185,12,-110.4090,-4.0264,True
carbon_project_zone,2019,2241.1511,2742.1185,12,-500.9674,-18.2694,True
carbon_project_zone,2020,3347.8269,2742.1185,12,605.7084,22.0891,True
carbon_project_zone,2021,3675.6010,2742.1185,12,933.4825,34.0424,True
carbon_project_zone,2022,3523.3724,2742.1185,12,781.2539,28.4909,True
carbon_project_zone,2023,2412.4771,2742.1185,12,-329.6414,-12.0214,True
carbon_project_zone,2024,3001.2307,2742.1185,12,259.1122,9.4493,True
carbon_project_zone,2025,3606.1822,2742.1185,12,864.0637,31.5108,True
project_area,1996,2802.9862,2755.1276,12,47.8586,1.7371,True
project_area,1997,1645.2662,2755.1276,12,-1109.8614,-40.2835,True
project_area,1998,3218.7727,2755.1276,12,463.6451,16.8284,True
project_area,1999,3161.2961,2755.1276,12,406.1685,14.7423,True
project_area,2000,3082.7795,2755.1276,12,327.6519,11.8924,True
project_area,2001,2883.6562,2755.1276,12,128.5286,4.6651,True
project_area,2002,2275.9207,2755.1276,12,-479.2069,-17.3933,True
project_area,2003,2620.8077,2755.1276,12,-134.3199,-4.8753,True
project_area,2004,2274.5389,2755.1276,12,-480.5887,-17.4434,True
project_area,2005,2385.4550,2755.1276,12,-369.6726,-13.4176,True
project_area,2006,2501.2837,2755.1276,12,-253.8439,-9.2135,True
project_area,2007,2884.1217,2755.1276,12,128.9941,4.6820,True
project_area,2008,3201.7448,2755.1276,12,446.6172,16.2104,True
project_area,2009,2433.0078,2755.1276,12,-322.1198,-11.6916,True
project_area,2010,4178.8822,2755.1276,12,1423.7546,51.6765,True
project_area,2011,2904.0337,2755.1276,12,148.9061,5.4047,True
project_area,2012,2463.1704,2755.1276,12,-291.9572,-10.5969,True
project_area,2013,2844.2277,2755.1276,12,89.1001,3.2340,True
project_area,2014,2467.7745,2755.1276,12,-287.3531,-10.4298,True
project_area,2015,2369.0599,2755.1276,12,-386.0677,-14.0127,True
project_area,2016,3441.0110,2755.1276,12,685.8834,24.8948,True
project_area,2017,2969.3124,2755.1276,12,214.1848,7.7740,True
project_area,2018,2617.3721,2755.1276,12,-137.7555,-5.0000,True
project_area,2019,2256.4540,2755.1276,12,-498.6736,-18.0998,True
project_area,2020,3362.5308,2755.1276,12,607.4032,22.0463,True
project_area,2021,3699.4312,2755.1276,12,944.3036,34.2744,True
project_area,2022,3539.5644,2755.1276,12,784.4368,28.4719,True
project_area,2023,2426.4034,2755.1276,12,-328.7242,-11.9314,True
project_area,2024,3018.2287,2755.1276,12,263.1011,9.5495,True
project_area,2025,3633.5871,2755.1276,12,878.4595,31.8845,True
