scope,month,normal_mean_mm,normal_std_mm,p10_mm,p25_mm,median_mm,p75_mm,p90_mm,n_years,normal_period
carbon_project_zone,1,262.9213,52.1437,198.9277,217.0427,266.5339,309.4213,326.4184,30,1991-2020
carbon_project_zone,2,265.2713,46.7869,201.3554,238.8451,270.5118,296.0801,313.6325,30,1991-2020
carbon_project_zone,3,321.3425,62.2179,236.1535,286.6409,328.8055,360.3802,400.4069,30,1991-2020
carbon_project_zone,4,295.0304,53.4693,252.7738,262.0387,286.5359,332.6703,350.3781,30,1991-2020
carbon_project_zone,5,246.7391,101.9982,117.1597,180.7507,245.5855,294.4752,386.4756,30,1991-2020
carbon_project_zone,6,195.4185,84.1020,84.5218,128.2175,199.8374,255.1935,284.3763,30,1991-2020
carbon_project_zone,7,134.0310,101.9629,21.2509,50.3951,127.3857,185.9252,277.9075,30,1991-2020
carbon_project_zone,8,104.2049,94.4747,18.0260,32.9302,71.2650,141.7902,248.3117,30,1991-2020
carbon_project_zone,9,115.3072,96.1936,18.4149,36.2195,91.5419,163.5095,235.2350,30,1991-2020
carbon_project_zone,10,222.4467,122.7014,52.6367,124.8435,228.6513,301.3984,394.9053,30,1991-2020
carbon_project_zone,11,266.0786,64.0336,201.7263,231.0771,255.5386,294.8386,333.6183,30,1991-2020
carbon_project_zone,12,313.3270,68.0451,239.3863,282.9389,304.9452,340.7488,409.0035,30,1991-2020
project_area,1,263.2860,51.9884,200.6724,218.6364,264.6649,305.2579,327.7378,30,1991-2020
project_area,2,265.4516,49.0416,198.5749,237.2907,266.8716,297.2324,316.9288,30,1991-2020
project_area,3,321.0672,63.2523,232.0123,286.8270,330.0186,356.4009,400.4269,30,1991-2020
project_area,4,295.8380,55.4587,250.1159,262.2046,286.2144,332.4054,357.2469,30,1991-2020
project_area,5,247.3949,101.2935,117.9360,183.5718,250.2864,290.4721,385.7067,30,1991-2020
project_area,6,197.1824,85.3962,90.1599,129.3600,204.4890,256.0153,292.4713,30,1991-2020
project_area,7,134.9247,101.7574,23.5073,51.9378,130.5619,186.7386,278.1307,30,1991-2020
project_area,8,105.6728,95.9555,17.9052,32.5618,72.3424,143.0321,255.2020,30,1991-2020
project_area,9,115.6745,96.5619,17.7158,36.8541,91.7033,165.2116,236.1111,30,1991-2020
project_area,10,226.0494,124.7539,52.9515,123.0957,232.0766,306.1803,401.6736,30,1991-2020
project_area,11,267.4471,65.4453,205.3689,232.4331,257.2964,295.5870,338.5042,30,1991-2020
project_area,12,315.1390,69.1774,240.0222,281.8287,306.8115,340.7666,409.7383,30,1991-2020
