year,month,scope,rainfall_mm,source
1981,1,carbon_project_zone,86.6252,UCSB-CHG/CHIRPS/DAILY
1981,2,carbon_project_zone,240.0262,UCSB-CHG/CHIRPS/DAILY
1981,3,carbon_project_zone,339.8964,UCSB-CHG/CHIRPS/DAILY
1981,4,carbon_project_zone,268.4624,UCSB-CHG/CHIRPS/DAILY
1981,5,carbon_project_zone,326.7621,UCSB-CHG/CHIRPS/DAILY
1981,6,carbon_project_zone,130.1461,UCSB-CHG/CHIRPS/DAILY
1981,7,carbon_project_zone,245.4845,UCSB-CHG/CHIRPS/DAILY
1981,8,carbon_project_zone,54.1457,UCSB-CHG/CHIRPS/DAILY
1981,9,carbon_project_zone,172.3431,UCSB-CHG/CHIRPS/DAILY
1981,10,carbon_project_zone,212.5941,UCSB-CHG/CHIRPS/DAILY
1981,11,carbon_project_zone,210.3921,UCSB-CHG/CHIRPS/DAILY
1981,12,carbon_project_zone,230.1593,UCSB-CHG/CHIRPS/DAILY
1982,1,carbon_project_zone,300.8924,UCSB-CHG/CHIRPS/DAILY
1982,2,carbon_project_zone,259.5365,UCSB-CHG/CHIRPS/DAILY
1982,3,carbon_project_zone,325.2548,UCSB-CHG/CHIRPS/DAILY
1982,4,carbon_project_zone,228.9491,UCSB-CHG/CHIRPS/DAILY
1982,5,carbon_project_zone,179.1610,UCSB-CHG/CHIRPS/DAILY
1982,6,carbon_project_zone,51.6218,UCSB-CHG/CHIRPS/DAILY
1982,7,carbon_project_zone,48.5868,UCSB-CHG/CHIRPS/DAILY
1982,8,carbon_project_zone,22.3853,UCSB-CHG/CHIRPS/DAILY
1982,9,carbon_project_zone,19.5604,UCSB-CHG/CHIRPS/DAILY
1982,10,carbon_project_zone,99.5105,UCSB-CHG/CHIRPS/DAILY
1982,11,carbon_project_zone,173.7977,UCSB-CHG/CHIRPS/DAILY
1982,12,carbon_project_zone,261.8208,UCSB-CHG/CHIRPS/DAILY
1983,1,carbon_project_zone,241.6850,UCSB-CHG/CHIRPS/DAILY
1983,2,carbon_project_zone,328.4349,UCSB-CHG/CHIRPS/DAILY
1983,3,carbon_project_zone,343.6745,UCSB-CHG/CHIRPS/DAILY
1983,4,carbon_project_zone,208.5895,UCSB-CHG/CHIRPS/DAILY
1983,5,carbon_project_zone,498.6719,UCSB-CHG/CHIRPS/DAILY
1983,6,carbon_project_zone,165.4780,UCSB-CHG/CHIRPS/DAILY
1983,7,carbon_project_zone,152.3270,UCSB-CHG/CHIRPS/DAILY
1983,8,carbon_project_zone,109.1603,UCSB-CHG/CHIRPS/DAILY
1983,9,carbon_project_zone,116.1471,UCSB-CHG/CHIRPS/DAILY
1983,10,carbon_project_zone,278.1726,UCSB-CHG/CHIRPS/DAILY
1983,11,carbon_project_zone,227.7793,UCSB-CHG/CHIRPS/DAILY
1983,12,carbon_project_zone,278.2190,UCSB-CHG/CHIRPS/DAILY
1984,1,carbon_project_zone,286.2621,UCSB-CHG/CHIRPS/DAILY
1984,2,carbon_project_zone,206.0134,UCSB-CHG/CHIRPS/DAILY
1984,3,carbon_project_zone,366.0723,UCSB-CHG/CHIRPS/DAILY
1984,4,carbon_project_zone,306.3424,UCSB-CHG/CHIRPS/DAILY
1984,5,carbon_project_zone,282.7475,UCSB-CHG/CHIRPS/DAILY
1984,6,carbon_project_zone,57.5201,UCSB-CHG/CHIRPS/DAILY
1984,7,carbon_project_zone,300.5773,UCSB-CHG/CHIRPS/DAILY
1984,8,carbon_project_zone,60.6868,UCSB-CHG/CHIRPS/DAILY
1984,9,carbon_project_zone,254.3847,UCSB-CHG/CHIRPS/DAILY
1984,10,carbon_project_zone,170.6115,UCSB-CHG/CHIRPS/DAILY
1984,11,carbon_project_zone,291.0768,UCSB-CHG/CHIRPS/DAILY
1984,12,carbon_project_zone,327.0074,UCSB-CHG/CHIRPS/DAILY
1985,1,carbon_project_zone,314.2776,UCSB-CHG/CHIRPS/DAILY
1985,2,carbon_project_zone,238.5185,UCSB-CHG/CHIRPS/DAILY
1985,3,carbon_project_zone,293.1014,UCSB-CHG/CHIRPS/DAILY
1985,4,carbon_project_zone,268.3803,UCSB-CHG/CHIRPS/DAILY
1985,5,carbon_project_zone,312.1628,UCSB-CHG/CHIRPS/DAILY
1985,6,carbon_project_zone,199.5804,UCSB-CHG/CHIRPS/DAILY
1985,7,carbon_project_zone,461.1595,UCSB-CHG/CHIRPS/DAILY
1985,8,carbon_project_zone,91.8885,UCSB-CHG/CHIRPS/DAILY
1985,9,carbon_project_zone,148.3954,UCSB-CHG/CHIRPS/DAILY
1985,10,carbon_project_zone,167.9203,UCSB-CHG/CHIRPS/DAILY
1985,11,carbon_project_zone,318.5048,UCSB-CHG/CHIRPS/DAILY
1985,12,carbon_project_zone,271.2362,UCSB-CHG/CHIRPS/DAILY
1986,1,carbon_project_zone,220.5129,UCSB-CHG/CHIRPS/DAILY
1986,2,carbon_project_zone,229.1606,UCSB-CHG/CHIRPS/DAILY
