year,month,scope,rainfall_mm,source,normal_mean_mm,anomaly_mm,anomaly_pct,period
1996,1,carbon_project_zone,289.8423,UCSB-CHG/CHIRPS/DAILY,262.9213,26.9210,10.2392,1996-2025
1996,2,carbon_project_zone,236.4501,UCSB-CHG/CHIRPS/DAILY,265.2713,-28.8212,-10.8648,1996-2025
1996,3,carbon_project_zone,374.4181,UCSB-CHG/CHIRPS/DAILY,321.3425,53.0756,16.5168,1996-2025
1996,4,carbon_project_zone,158.2223,UCSB-CHG/CHIRPS/DAILY,295.0304,-136.8081,-46.3708,1996-2025
1996,5,carbon_project_zone,81.4291,UCSB-CHG/CHIRPS/DAILY,246.7391,-165.3100,-66.9979,1996-2025
1996,6,carbon_project_zone,244.0716,UCSB-CHG/CHIRPS/DAILY,195.4185,48.6531,24.8969,1996-2025
1996,7,carbon_project_zone,75.5759,UCSB-CHG/CHIRPS/DAILY,134.0310,-58.4551,-43.6131,1996-2025
1996,8,carbon_project_zone,293.7138,UCSB-CHG/CHIRPS/DAILY,104.2049,189.5089,181.8618,1996-2025
1996,9,carbon_project_zone,128.4300,UCSB-CHG/CHIRPS/DAILY,115.3072,13.1228,11.3807,1996-2025
1996,10,carbon_project_zone,420.4939,UCSB-CHG/CHIRPS/DAILY,222.4467,198.0472,89.0313,1996-2025
1996,11,carbon_project_zone,216.1934,UCSB-CHG/CHIRPS/DAILY,266.0786,-49.8852,-18.7483,1996-2025
1996,12,carbon_project_zone,290.8536,UCSB-CHG/CHIRPS/DAILY,313.3270,-22.4734,-7.1725,1996-2025
1997,1,carbon_project_zone,211.6757,UCSB-CHG/CHIRPS/DAILY,262.9213,-51.2456,-19.4909,1996-2025
1997,2,carbon_project_zone,179.5390,UCSB-CHG/CHIRPS/DAILY,265.2713,-85.7323,-32.3187,1996-2025
1997,3,carbon_project_zone,147.6412,UCSB-CHG/CHIRPS/DAILY,321.3425,-173.7013,-54.0549,1996-2025
1997,4,carbon_project_zone,343.4130,UCSB-CHG/CHIRPS/DAILY,295.0304,48.3826,16.3992,1996-2025
1997,5,carbon_project_zone,82.2133,UCSB-CHG/CHIRPS/DAILY,246.7391,-164.5258,-66.6801,1996-2025
1997,6,carbon_project_zone,24.5724,UCSB-CHG/CHIRPS/DAILY,195.4185,-170.8461,-87.4258,1996-2025
1997,7,carbon_project_zone,66.2217,UCSB-CHG/CHIRPS/DAILY,134.0310,-67.8093,-50.5923,1996-2025
1997,8,carbon_project_zone,14.8861,UCSB-CHG/CHIRPS/DAILY,104.2049,-89.3188,-85.7146,1996-2025
1997,9,carbon_project_zone,6.2114,UCSB-CHG/CHIRPS/DAILY,115.3072,-109.0958,-94.6132,1996-2025
1997,10,carbon_project_zone,51.6301,UCSB-CHG/CHIRPS/DAILY,222.4467,-170.8166,-76.7899,1996-2025
1997,11,carbon_project_zone,209.1383,UCSB-CHG/CHIRPS/DAILY,266.0786,-56.9403,-21.3998,1996-2025
