date,scope,rainfall_mm,normal_mean_mm,normal_std_mm,anomaly_mm,anomaly_pct,z_score,percentile_estimate,p10_mm,p25_mm,median_mm,p75_mm,p90_mm,climate_status,baseline_period,current_source,processing_time_utc
2026-08-04,carbon_project_zone,0.0000,104.2049,94.4747,-104.2049,-100.0000,-1.1030,3.7379,18.0260,32.9302,71.2650,141.7902,248.3117,drought,1991-2020,NASA/GPM_L3/IMERG_V07,2026-08-12T16:50:17.436029+00:00
2026-08-04,project_area,0.0000,105.6728,95.9555,-105.6728,-100.0000,-1.1013,3.9636,17.9052,32.5618,72.3424,143.0321,255.2020,drought,1991-2020,NASA/GPM_L3/IMERG_V07,2026-08-12T16:50:18.159349+00:00
2026-08-05,carbon_project_zone,0.0000,104.2049,94.4747,-104.2049,-100.0000,-1.1030,3.7379,18.0260,32.9302,71.2650,141.7902,248.3117,drought,1991-2020,NASA/GPM_L3/IMERG_V07,2026-08-12T16:50:18.931886+00:00
2026-08-05,project_area,0.0000,105.6728,95.9555,-105.6728,-100.0000,-1.1013,3.9636,17.9052,32.5618,72.3424,143.0321,255.2020,drought,1991-2020,NASA/GPM_L3/IMERG_V07,2026-08-12T16:50:19.701710+00:00
2026-08-06,carbon_project_zone,0.0000,104.2049,94.4747,-104.2049,-100.0000,-1.1030,3.7379,18.0260,32.9302,71.2650,141.7902,248.3117,drought,1991-2020,NASA/GPM_L3/IMERG_V07,2026-08-12T16:50:20.305364+00:00
2026-08-06,project_area,0.0000,105.6728,95.9555,-105.6728,-100.0000,-1.1013,3.9636,17.9052,32.5618,72.3424,143.0321,255.2020,drought,1991-2020,NASA/GPM_L3/IMERG_V07,2026-08-12T16:50:21.044243+00:00
2026-08-07,carbon_project_zone,0.0000,104.2049,94.4747,-104.2049,-100.0000,-1.1030,3.7379,18.0260,32.9302,71.2650,141.7902,248.3117,drought,1991-2020,NASA/GPM_L3/IMERG_V07,2026-08-12T16:50:21.647184+00:00
2026-08-07,project_area,0.0000,105.6728,95.9555,-105.6728,-100.0000,-1.1013,3.9636,17.9052,32.5618,72.3424,143.0321,255.2020,drought,1991-2020,NASA/GPM_L3/IMERG_V07,2026-08-12T16:50:22.458461+00:00
2026-08-08,carbon_project_zone,0.0000,104.2049,94.4747,-104.2049,-100.0000,-1.1030,3.7379,18.0260,32.9302,71.2650,141.7902,248.3117,drought,1991-2020,NASA/GPM_L3/IMERG_V07,2026-08-12T16:50:23.270998+00:00
2026-08-08,project_area,0.0000,105.6728,95.9555,-105.6728,-100.0000,-1.1013,3.9636,17.9052,32.5618,72.3424,143.0321,255.2020,drought,1991-2020,NASA/GPM_L3/IMERG_V07,2026-08-12T16:50:24.037156+00:00
2026-08-09,carbon_project_zone,0.0529,104.2049,94.4747,-104.1520,-99.9493,-1.1024,3.7562,18.0260,32.9302,71.2650,141.7902,248.3117,drought,1991-2020,NASA/GPM_L3/IMERG_V07,2026-08-12T16:50:24.651719+00:00
2026-08-09,project_area,0.0230,105.6728,95.9555,-105.6498,-99.9782,-1.1010,3.9714,17.9052,32.5618,72.3424,143.0321,255.2020,drought,1991-2020,NASA/GPM_L3/IMERG_V07,2026-08-12T16:50:25.381960+00:00
2026-08-10,carbon_project_zone,0.0000,104.2049,94.4747,-104.2049,-100.0000,-1.1030,3.7379,18.0260,32.9302,71.2650,141.7902,248.3117,drought,1991-2020,NASA/GPM_L3/IMERG_V07,2026-08-12T16:50:26.123259+00:00
2026-08-10,project_area,0.0000,105.6728,95.9555,-105.6728,-100.0000,-1.1013,3.9636,17.9052,32.5618,72.3424,143.0321,255.2020,drought,1991-2020,NASA/GPM_L3/IMERG_V07,2026-08-12T16:50:26.865076+00:00
2026-08-11,carbon_project_zone,0.0000,104.2049,94.4747,-104.2049,-100.0000,-1.1030,3.7379,18.0260,32.9302,71.2650,141.7902,248.3117,drought,1991-2020,NASA/GPM_L3/IMERG_V07,2026-08-12T16:50:27.301127+00:00
2026-08-11,project_area,0.0000,105.6728,95.9555,-105.6728,-100.0000,-1.1013,3.9636,17.9052,32.5618,72.3424,143.0321,255.2020,drought,1991-2020,NASA/GPM_L3/IMERG_V07,2026-08-12T16:50:28.016383+00:00
