date,scope,period,rainfall_accum_mm,spi,spi_status,source
1982-01-01,carbon_project_zone,SPI-3,741.4438,-0.9685,normal,CHIRPS v2 Final
1983-01-01,carbon_project_zone,SPI-3,677.3035,-1.7097,severe_drought,CHIRPS v2 Final
1984-01-01,carbon_project_zone,SPI-3,792.2604,-0.4115,normal,CHIRPS v2 Final
1985-01-01,carbon_project_zone,SPI-3,932.3618,1.0101,wet,CHIRPS v2 Final
1986-01-01,carbon_project_zone,SPI-3,810.2539,-0.2200,normal,CHIRPS v2 Final
1987-01-01,carbon_project_zone,SPI-3,781.1596,-0.5311,normal,CHIRPS v2 Final
1988-01-01,carbon_project_zone,SPI-3,799.3979,-0.3352,normal,CHIRPS v2 Final
1989-01-01,carbon_project_zone,SPI-3,939.7733,1.0812,wet,CHIRPS v2 Final
1990-01-01,carbon_project_zone,SPI-3,707.4335,-1.3559,moderate_dry,CHIRPS v2 Final
1991-01-01,carbon_project_zone,SPI-3,809.0806,-0.2324,normal,CHIRPS v2 Final
1992-01-01,carbon_project_zone,SPI-3,867.6219,0.3722,normal,CHIRPS v2 Final
1993-01-01,carbon_project_zone,SPI-3,792.8089,-0.4056,normal,CHIRPS v2 Final
1994-01-01,carbon_project_zone,SPI-3,810.3382,-0.2191,normal,CHIRPS v2 Final
1995-01-01,carbon_project_zone,SPI-3,864.8581,0.3443,normal,CHIRPS v2 Final
1996-01-01,carbon_project_zone,SPI-3,888.1860,0.5781,normal,CHIRPS v2 Final
1997-01-01,carbon_project_zone,SPI-3,718.7227,-1.2259,moderate_dry,CHIRPS v2 Final
1998-01-01,carbon_project_zone,SPI-3,706.1687,-1.3705,moderate_dry,CHIRPS v2 Final
1999-01-01,carbon_project_zone,SPI-3,850.9316,0.2027,normal,CHIRPS v2 Final
2000-01-01,carbon_project_zone,SPI-3,892.0905,0.6169,normal,CHIRPS v2 Final
2001-01-01,carbon_project_zone,SPI-3,845.2815,0.1448,normal,CHIRPS v2 Final
2002-01-01,carbon_project_zone,SPI-3,747.4939,-0.9009,normal,CHIRPS v2 Final
2003-01-01,carbon_project_zone,SPI-3,834.4463,0.0331,normal,CHIRPS v2 Final
2004-01-01,carbon_project_zone,SPI-3,1079.9047,2.3617,extremely_wet,CHIRPS v2 Final
2005-01-01,carbon_project_zone,SPI-3,632.1853,-2.2601,extreme_drought,CHIRPS v2 Final
2006-01-01,carbon_project_zone,SPI-3,827.1503,-0.0427,normal,CHIRPS v2 Final
2007-01-01,carbon_project_zone,SPI-3,771.3559,-0.6377,normal,CHIRPS v2 Final
2008-01-01,carbon_project_zone,SPI-3,716.4620,-1.2519,moderate_dry,CHIRPS v2 Final
2009-01-01,carbon_project_zone,SPI-3,939.1174,1.0749,wet,CHIRPS v2 Final
2010-01-01,carbon_project_zone,SPI-3,921.8578,0.9086,normal,CHIRPS v2 Final
2011-01-01,carbon_project_zone,SPI-3,823.5103,-0.0807,normal,CHIRPS v2 Final
2012-01-01,carbon_project_zone,SPI-3,1159.1326,3.0381,extremely_wet,CHIRPS v2 Final
2013-01-01,carbon_project_zone,SPI-3,884.7787,0.5442,normal,CHIRPS v2 Final
2014-01-01,carbon_project_zone,SPI-3,777.0549,-0.5756,normal,CHIRPS v2 Final
2015-01-01,carbon_project_zone,SPI-3,790.1425,-0.4342,normal,CHIRPS v2 Final
2016-01-01,carbon_project_zone,SPI-3,938.9745,1.0735,wet,CHIRPS v2 Final
2017-01-01,carbon_project_zone,SPI-3,871.7961,0.4143,normal,CHIRPS v2 Final
2018-01-01,carbon_project_zone,SPI-3,799.6715,-0.3323,normal,CHIRPS v2 Final
2019-01-01,carbon_project_zone,SPI-3,842.7186,0.1184,normal,CHIRPS v2 Final
2020-01-01,carbon_project_zone,SPI-3,753.7850,-0.8310,normal,CHIRPS v2 Final
2021-01-01,carbon_project_zone,SPI-3,905.7624,0.7517,normal,CHIRPS v2 Final
2022-01-01,carbon_project_zone,SPI-3,829.3070,-0.0203,normal,CHIRPS v2 Final
2023-01-01,carbon_project_zone,SPI-3,784.4203,-0.4958,normal,CHIRPS v2 Final
2024-01-01,carbon_project_zone,SPI-3,942.4281,1.1066,wet,CHIRPS v2 Final
2025-01-01,carbon_project_zone,SPI-3,938.1048,1.0652,wet,CHIRPS v2 Final
1982-02-01,carbon_project_zone,SPI-3,790.5882,-0.5270,normal,CHIRPS v2 Final
1983-02-01,carbon_project_zone,SPI-3,831.9407,-0.1210,normal,CHIRPS v2 Final
1984-02-01,carbon_project_zone,SPI-3,770.4945,-0.7294,normal,CHIRPS v2 Final
1985-02-01,carbon_project_zone,SPI-3,879.8035,0.3324,normal,CHIRPS v2 Final
1986-02-01,carbon_project_zone,SPI-3,720.9097,-1.2446,moderate_dry,CHIRPS v2 Final
1987-02-01,carbon_project_zone,SPI-3,788.4682,-0.5482,normal,CHIRPS v2 Final
1988-02-01,carbon_project_zone,SPI-3,821.4576,-0.2226,normal,CHIRPS v2 Final
1989-02-01,carbon_project_zone,SPI-3,943.6736,0.9126,normal,CHIRPS v2 Final
1990-02-01,carbon_project_zone,SPI-3,676.5509,-1.7262,severe_drought,CHIRPS v2 Final
1991-02-01,carbon_project_zone,SPI-3,966.7234,1.1156,wet,CHIRPS v2 Final
1992-02-01,carbon_project_zone,SPI-3,912.7708,0.6353,normal,CHIRPS v2 Final
1993-02-01,carbon_project_zone,SPI-3,734.2415,-1.1038,moderate_dry,CHIRPS v2 Final
1994-02-01,carbon_project_zone,SPI-3,779.2063,-0.6412,normal,CHIRPS v2 Final
1995-02-01,carbon_project_zone,SPI-3,863.1873,0.1769,normal,CHIRPS v2 Final
1996-02-01,carbon_project_zone,SPI-3,829.3652,-0.1459,normal,CHIRPS v2 Final
1997-02-01,carbon_project_zone,SPI-3,682.0683,-1.6651,severe_drought,CHIRPS v2 Final
1998-02-01,carbon_project_zone,SPI-3,748.5604,-0.9544,normal,CHIRPS v2 Final
1999-02-01,carbon_project_zone,SPI-3,874.8543,0.2863,normal,CHIRPS v2 Final
2000-02-01,carbon_project_zone,SPI-3,878.4488,0.3198,normal,CHIRPS v2 Final
2001-02-01,carbon_project_zone,SPI-3,730.0771,-1.1476,moderate_dry,CHIRPS v2 Final
2002-02-01,carbon_project_zone,SPI-3,789.7189,-0.5357,normal,CHIRPS v2 Final
2003-02-01,carbon_project_zone,SPI-3,863.7763,0.1825,normal,CHIRPS v2 Final
2004-02-01,carbon_project_zone,SPI-3,991.3514,1.3290,wet,CHIRPS v2 Final
2005-02-01,carbon_project_zone,SPI-3,720.0595,-1.2536,moderate_dry,CHIRPS v2 Final
2006-02-01,carbon_project_zone,SPI-3,821.7384,-0.2199,normal,CHIRPS v2 Final
2007-02-01,carbon_project_zone,SPI-3,829.3278,-0.1462,normal,CHIRPS v2 Final
2008-02-01,carbon_project_zone,SPI-3,822.4511,-0.2129,normal,CHIRPS v2 Final
2009-02-01,carbon_project_zone,SPI-3,860.6301,0.1528,normal,CHIRPS v2 Final
2010-02-01,carbon_project_zone,SPI-3,952.1490,0.9876,normal,CHIRPS v2 Final
2011-02-01,carbon_project_zone,SPI-3,630.8548,-2.2453,extreme_drought,CHIRPS v2 Final
2012-02-01,carbon_project_zone,SPI-3,948.4358,0.9548,normal,CHIRPS v2 Final
2013-02-01,carbon_project_zone,SPI-3,868.4897,0.2268,normal,CHIRPS v2 Final
2014-02-01,carbon_project_zone,SPI-3,800.6493,-0.4269,normal,CHIRPS v2 Final
2015-02-01,carbon_project_zone,SPI-3,908.5565,0.5970,normal,CHIRPS v2 Final
2016-02-01,carbon_project_zone,SPI-3,1083.2190,2.0956,extremely_wet,CHIRPS v2 Final
2017-02-01,carbon_project_zone,SPI-3,901.3104,0.5308,normal,CHIRPS v2 Final
2018-02-01,carbon_project_zone,SPI-3,790.3707,-0.5291,normal,CHIRPS v2 Final
2019-02-01,carbon_project_zone,SPI-3,941.2406,0.8910,normal,CHIRPS v2 Final
2020-02-01,carbon_project_zone,SPI-3,831.5918,-0.1244,normal,CHIRPS v2 Final
2021-02-01,carbon_project_zone,SPI-3,1199.2893,3.0057,extremely_wet,CHIRPS v2 Final
2022-02-01,carbon_project_zone,SPI-3,840.5266,-0.0384,normal,CHIRPS v2 Final
2023-02-01,carbon_project_zone,SPI-3,819.4760,-0.2419,normal,CHIRPS v2 Final
2024-02-01,carbon_project_zone,SPI-3,891.2466,0.4384,normal,CHIRPS v2 Final
2025-02-01,carbon_project_zone,SPI-3,1019.9934,1.5728,very_wet,CHIRPS v2 Final
1981-03-01,carbon_project_zone,SPI-3,666.5478,-1.9419,severe_drought,CHIRPS v2 Final
1982-03-01,carbon_project_zone,SPI-3,885.6837,0.1877,normal,CHIRPS v2 Final
1983-03-01,carbon_project_zone,SPI-3,913.7944,0.4342,normal,CHIRPS v2 Final
1984-03-01,carbon_project_zone,SPI-3,858.3478,-0.0571,normal,CHIRPS v2 Final
1985-03-01,carbon_project_zone,SPI-3,845.8975,-0.1703,normal,CHIRPS v2 Final
1986-03-01,carbon_project_zone,SPI-3,908.7780,0.3906,normal,CHIRPS v2 Final
